36,-23,229,
36,-22,229,
36,-21,228,
36,-20,227,
36,-19,226,
36,-18,225,
36,-17,224,
36,-16,223,
36,-15,222,
36,-14,221,
36,-13,220,
36,-12,219,
36,-11,218,
36,-10,217,
36,-9,216,
36,-8,217,
36,-7,218,
36,-6,219,
36,-5,220,
36,-4,221,
36,-3,222,
36,-2,223,
36,-1,224,
36,0,225,
36,1,226,
36,2,227,
36,3,227,
36,4,227,
36,5,226,
36,6,226,
36,7,228,
36,8,229,
36,9,230,
36,10,230,
36,11,230,
36,12,230,
36,13,230,
36,14,230,
36,15,230,
36,16,229,
36,17,230,
36,18,230,
36,19,230,
36,20,230,
36,21,230,
36,22,230,
36,23,230,
36,24,230,
36,25,230,
36,26,230,
36,27,230,
36,28,229,
36,29,228,
36,30,227,
36,31,226,
36,32,227,
36,33,228,
36,34,229,
37,-23,229,
37,-22,229,
37,-21,229,
37,-20,228,
37,-19,227,
37,-18,226,
37,-17,225,
37,-16,224,
37,-15,223,
37,-14,222,
37,-13,221,
37,-12,220,
37,-11,219,
37,-10,218,
37,-9,217,
37,-8,218,
37,-7,219,
37,-6,220,
37,-5,221,
37,-4,222,
37,-3,223,
37,-2,224,
37,-1,225,
37,0,226,
37,1,227,
37,2,228,
37,3,229,
37,4,229,
37,5,228,
37,6,228,
37,7,229,
37,8,230,
37,9,231,
37,10,232,
37,11,232,
37,12,232,
37,13,232,
37,14,232,
37,15,231,
37,16,230,
37,17,231,
37,18,232,
37,19,232,
37,20,232,
37,21,232,
37,22,232,
37,23,232,
37,24,232,
37,25,232,
37,26,232,
37,27,231,
37,28,230,
37,29,229,
37,30,228,
37,31,227,
37,32,228,
37,33,229,
37,34,229,
38,-23,229,
38,-22,229,
38,-21,229,
38,-20,229,
38,-19,228,
38,-18,227,
38,-17,226,
38,-16,225,
38,-15,224,
38,-14,223,
38,-13,222,
38,-12,221,
38,-11,220,
38,-10,219,
38,-9,218,
38,-8,219,
38,-7,220,
38,-6,221,
38,-5,222,
38,-4,223,
38,-3,224,
38,-2,225,
38,-1,226,
38,0,227,
38,1,228,
38,2,229,
38,3,230,
38,4,231,
38,5,230,
38,6,229,
38,7,230,
38,8,231,
38,9,232,
38,10,233,
38,11,234,
38,12,234,
38,13,234,
38,14,233,
38,15,232,
38,16,231,
38,17,232,
38,18,233,
38,19,234,
38,20,234,
38,21,234,
38,22,234,
38,23,234,
38,24,234,
38,25,234,
38,26,233,
38,27,232,
38,28,231,
38,29,230,
38,30,229,
38,31,228,
38,32,229,
38,33,229,
38,34,229,
39,-23,228,
39,-22,229,
39,-21,229,
39,-20,229,
39,-19,229,
39,-18,228,
39,-17,227,
39,-16,226,
39,-15,225,
39,-14,224,
39,-13,223,
39,-12,222,
39,-11,221,
39,-10,220,
39,-9,219,
39,-8,220,
39,-7,221,
39,-6,222,
39,-5,223,
39,-4,224,
39,-3,225,
39,-2,226,
39,-1,227,
39,0,228,
39,1,229,
39,2,230,
39,3,231,
39,4,232,
39,5,231,
39,6,230,
39,7,231,
39,8,232,
39,9,233,
39,10,234,
39,11,235,
39,12,236,
39,13,235,
39,14,234,
39,15,233,
39,16,232,
39,17,233,
39,18,234,
39,19,235,
39,20,236,
39,21,236,
39,22,236,
39,23,236,
39,24,236,
39,25,235,
39,26,234,
39,27,233,
